protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,12,1200.0,132,63,69,0.777778,0.920635,0.963324,0.665044,0.82381,0.665044,4.002472,1.981812,58,49,3257,5111,5041,70,70,1261.313024,184.694276,0.153912,499.479958,1655.325051,2154.805009,0.651786,0.381522,0.554608,12124,238315,250439,0.048411,132579,0.529386,3291,2095,0,0,0,0,0,0,0.0,0.013696,0,0,0.0,-1,0,0,0
meshcore-like,12,1200.0,132,63,69,0.238095,0.396825,0.980479,0.493568,0.444211,0.493568,0.740352,0.493568,25,15,3315,4069,3392,677,25,1004.164096,123.55992,0.102967,397.648982,1243.129485,1640.778467,0.492726,0.301551,0.496795,8500,190881,199381,0.042632,88683,0.444792,2032,0,638,14,17,46,0,0,0.0,0.16638,0,0,0.0,-1,0,0,0
calm-mesh,12,1200.0,132,63,69,0.650794,0.666667,0.960367,1.096364,0.954405,1.096364,2.493568,2.740352,42,41,3247,3698,2879,819,43,912.607232,140.107974,0.116757,361.392464,1167.191218,1528.583682,0.464898,0.277557,0.490963,10930,170272,181202,0.060319,86380,0.476706,2132,1064,762,14,37,26,32,8,0.939609,0.221471,0,0,0.0,-1,0,0,0
smart-calm,12,1200.0,132,63,69,0.888889,0.936508,0.990831,5.160966,5.43348,5.160966,35.246784,35.493568,59,56,3350,3819,3158,661,60,942.468096,147.987318,0.123323,373.217366,1197.489354,1570.70672,0.461159,0.276708,0.577448,12210,174921,187131,0.065248,86799,0.463841,2066,1137,591,10,49,14,217,7,0.952314,0.173082,5,101,103.534421,0,63,0,0
meshtastic-like,13,1200.0,129,63,66,0.809524,0.920635,0.90538,0.766582,0.707847,0.766582,3.430499,1.975059,58,51,2928,5001,4930,71,71,1234.166784,180.211647,0.150176,488.730046,1615.833462,2104.563508,0.706466,0.414289,0.543277,11637,233412,245049,0.047488,129077,0.52674,2813,1754,0,0,0,0,0,0,0.0,0.014197,0,0,0.0,-1,0,0,0
meshcore-like,13,1200.0,129,63,66,0.412698,0.650794,0.939085,0.531535,0.439396,0.531535,0.740352,0.863744,41,26,3037,4095,3149,946,43,1010.58048,122.218784,0.101849,400.18987,1228.517262,1628.707132,0.531736,0.329932,0.399123,9551,191104,200655,0.047599,83189,0.414587,1401,0,884,19,31,32,0,0,0.0,0.231013,0,0,0.0,-1,0,0,0
calm-mesh,13,1200.0,129,63,66,0.603175,0.634921,0.98423,0.966575,0.696141,0.966575,2.493568,2.740352,40,38,3183,3511,2821,690,40,866.458624,124.23839,0.103532,343.117615,1081.262618,1424.380233,0.442217,0.269003,0.463526,9922,162117,172039,0.057673,76575,0.445103,1697,874,637,13,38,25,0,5,0.946192,0.196525,0,0,0.0,-1,0,0,0
smart-calm,13,1200.0,129,63,66,0.936508,0.936508,0.950216,10.442907,8.422666,10.442907,35.246784,35.493568,59,59,3073,3916,3165,751,68,966.406144,141.492288,0.11791,382.696833,1210.742691,1593.439524,0.508761,0.308559,0.494437,12122,179615,191737,0.063222,84891,0.442747,1587,805,672,11,40,23,373,8,0.952463,0.191777,6,100,109.923976,2,54,0,9
meshtastic-like,14,1200.0,114,46,68,0.956522,0.978261,0.978992,0.657658,0.385291,0.657658,1.533662,2.070643,45,44,3262,4634,4585,49,49,1143.597056,155.890112,0.129908,452.864434,1484.298283,1937.162717,0.585954,0.345916,0.559839,10259,216366,226625,0.045269,117229,0.517282,2419,1623,0,0,0,0,0,0,0.0,0.010574,0,0,0.0,-1,0,0,0
meshcore-like,14,1200.0,114,46,68,0.456522,0.913043,0.968187,0.493568,0.481816,0.493568,0.740352,0.493568,42,21,3226,4432,3339,1093,42,1093.746688,134.745274,0.112288,433.123688,1340.969312,1774.093,0.546379,0.336848,0.415162,10524,206644,217168,0.04846,92390,0.425431,2046,0,1029,22,25,21,0,0,0.0,0.246616,0,0,0.0,-1,0,0,0
calm-mesh,14,1200.0,114,46,68,0.891304,0.913043,0.964886,1.199944,0.936341,1.199944,2.493568,2.740352,42,41,3215,3624,2881,743,42,894.345216,128.416476,0.107014,354.160706,1113.968164,1468.12887,0.4509,0.274676,0.478592,10497,167079,177576,0.059113,77896,0.438663,1776,922,687,14,31,15,41,8,0.956686,0.205022,0,0,0.0,-1,0,0,0
smart-calm,14,1200.0,114,46,68,0.978261,1.0,0.967587,2.50056,2.210145,2.50056,2.093568,2.340352,46,45,3224,3552,2904,648,47,876.576768,128.629054,0.107191,347.1244,1104.17076,1451.29516,0.443957,0.268148,0.447082,10677,163371,174048,0.061345,78922,0.45345,1725,896,588,13,34,12,39,4,0.950244,0.182432,1,86,96.303157,0,46,0,0
