protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
calm-mesh,8,1200.0,125,63,62,0.920635,0.920635,0.967742,1.070378,0.823594,1.070378,2.493568,2.740352,58,58,2940,3511,2702,809,58,866.458624,118.875467,0.099063,343.117615,1069.594649,1412.712264,0.471218,0.289012,0.275076,11200,160839,172039,0.065102,71834,0.417545,1072,674,736,15,47,16,43,8,0.948954,0.230419,0,0,0.0,-1,0,0,0
smart-calm,8,1200.0,125,63,62,1.0,1.0,0.983213,4.984481,4.528915,4.984481,15.246784,15.493568,63,63,2987,3241,2677,564,64,799.826944,115.255503,0.096046,316.73147,997.061986,1313.793455,0.430752,0.262238,0.372492,11100,147709,158809,0.069895,67844,0.427205,933,639,490,10,42,21,13,2,0.945986,0.17402,1,103,128.46317,0,63,0,0
smart-calm-static,8,1200.0,125,63,62,1.0,1.0,0.967742,2.453171,2.206387,2.453171,15.246784,15.493568,63,63,2940,3526,2712,814,63,870.160384,121.831993,0.101527,344.583512,1076.154212,1420.737724,0.473106,0.289764,0.307351,11656,161118,172774,0.067464,72196,0.417864,1032,670,736,15,47,16,84,8,0.949292,0.230856,0,0,0.0,1,0,63,0
smart-calm-no-fallback,8,1200.0,125,63,62,0.904762,0.952381,0.983542,0.920058,0.666277,0.920058,2.093568,2.340352,60,57,2988,3291,2672,619,68,812.166144,121.781588,0.101485,321.617793,1015.09659,1336.714383,0.438987,0.266721,0.318541,11738,149521,161259,0.07279,69064,0.42828,1122,700,539,12,51,12,9,3,0.925034,0.188089,3,103,110.783679,0,63,0,0
smart-calm-no-confidence,8,1200.0,125,63,62,1.0,1.0,0.983213,4.984481,4.528915,4.984481,15.246784,15.493568,63,63,2987,3241,2677,564,64,799.826944,115.255503,0.096046,316.73147,997.061986,1313.793455,0.430752,0.262238,0.372492,11100,147709,158809,0.069895,67844,0.427205,933,639,490,10,42,21,13,2,0.945986,0.17402,1,103,128.46317,0,63,0,0
meshtastic-like,9,1200.0,127,58,69,0.775862,0.948276,0.954156,0.55853,0.775166,0.55853,4.268352,0.493568,55,45,3226,4888,4828,60,60,1206.280192,174.843597,0.145703,477.686956,1575.486277,2053.173233,0.62769,0.36878,0.517011,11339,228173,239512,0.047342,125640,0.524567,3059,1993,0,0,0,0,0,0,0.0,0.012275,0,0,0.0,-1,0,0,0
meshcore-like,9,1200.0,127,58,69,0.431034,0.689655,0.966578,0.513311,0.438042,0.513311,0.740352,0.493568,40,25,3268,4378,3385,993,41,1080.420352,131.402216,0.109502,427.846459,1313.741253,1741.587713,0.528876,0.328096,0.405145,10211,204311,214522,0.047599,89179,0.41571,1831,0,932,20,31,27,0,0,0.0,0.226816,0,0,0.0,-1,0,0,0
calm-mesh,9,1200.0,127,58,69,0.793103,0.862069,0.983141,1.215485,0.955884,1.215485,2.493568,2.740352,50,46,3324,3836,3034,802,50,946.663424,132.630167,0.110525,374.878716,1183.002953,1557.881668,0.462279,0.280909,0.458223,11043,176921,187964,0.058751,83255,0.442931,1493,867,737,15,38,20,86,10,0.950379,0.209072,0,0,0.0,-1,0,0,0
smart-calm,9,1200.0,127,58,69,0.948276,0.965517,0.973381,4.173113,2.918288,4.173113,15.246784,15.493568,56,55,3291,3780,3019,761,63,932.84352,141.48343,0.117903,369.406034,1176.418225,1545.824259,0.461992,0.278794,0.53348,12007,173213,185220,0.064826,83749,0.45216,1744,952,685,13,40,18,95,8,0.947625,0.201323,10,98,106.59322,1,32,26,0
smart-calm-static,9,1200.0,127,58,69,1.0,1.0,0.970127,3.910951,2.668422,3.910951,15.246784,15.493568,58,58,3280,3905,3041,864,62,963.69152,139.621037,0.116351,381.621842,1202.186739,1583.808581,0.474478,0.288703,0.447368,12507,178838,191345,0.065364,82999,0.433766,1783,936,786,16,39,19,133,10,0.950215,0.221255,0,0,0.0,1,0,58,0
