seed,pair_index,source,destination,selected_graph_hops,protocol,matched_rreq_timing,unicast_flows,discovery_count,candidate_count,candidate_paths_json,selected_path_json,destination_delivered,ack_confirmed,total_airtime_s,route_cache_hits,route_repair_count,fallback_forward_count,candidate_sets_identical,shared_multi_candidate_set
22,3,8,45,2,etx-mesh,1,1,1,3,"[[8, 13, 41, 45], [8, 24, 34, 45], [8, 37, 1, 45]]","[8, 13, 41, 45]",0,0,3.95648,0,0,0,1,1
22,3,8,45,2,minhop-mesh,1,1,1,3,"[[8, 13, 41, 45], [8, 24, 34, 45], [8, 37, 1, 45]]","[8, 24, 34, 45]",0,0,3.95648,0,0,0,1,1
22,3,8,45,2,meshcore-like,1,1,1,3,"[[8, 13, 41, 45], [8, 24, 34, 45], [8, 37, 1, 45]]","[8, 13, 41, 45]",0,0,3.95648,0,0,0,1,1
22,4,22,11,2,meshecho,1,1,1,2,"[[22, 11], [22, 12, 11]]","[22, 12, 11]",1,1,3.95648,0,0,0,1,1
22,4,22,11,2,etx-mesh,1,1,1,2,"[[22, 11], [22, 12, 11]]","[22, 11]",0,0,3.5968,0,0,0,1,1
22,4,22,11,2,minhop-mesh,1,1,1,2,"[[22, 11], [22, 12, 11]]","[22, 11]",0,0,3.5968,0,0,0,1,1
22,4,22,11,2,meshcore-like,1,1,1,2,"[[22, 11], [22, 12, 11]]","[22, 11]",0,0,3.5968,0,0,0,1,1
22,5,39,22,2,meshecho,1,1,1,3,"[[39, 13, 22], [39, 19, 22], [39, 22]]","[39, 19, 22]",1,1,3.95648,0,0,0,1,1
22,5,39,22,2,etx-mesh,1,1,1,3,"[[39, 13, 22], [39, 19, 22], [39, 22]]","[39, 13, 22]",1,1,3.95648,0,0,0,1,1
22,5,39,22,2,minhop-mesh,1,1,1,3,"[[39, 13, 22], [39, 19, 22], [39, 22]]","[39, 22]",0,0,3.5968,0,0,0,1,1
22,5,39,22,2,meshcore-like,1,1,1,3,"[[39, 13, 22], [39, 19, 22], [39, 22]]","[39, 22]",0,0,3.5968,0,0,0,1,1
22,6,11,47,2,meshecho,1,1,1,4,"[[11, 13, 47], [11, 31, 6, 47], [11, 34, 42, 47], [11, 47]]","[11, 31, 6, 47]",1,1,4.172288,0,0,0,1,1
22,6,11,47,2,etx-mesh,1,1,1,4,"[[11, 13, 47], [11, 31, 6, 47], [11, 34, 42, 47], [11, 47]]","[11, 47]",1,1,3.740672,0,0,0,1,1
22,6,11,47,2,minhop-mesh,1,1,1,4,"[[11, 13, 47], [11, 31, 6, 47], [11, 34, 42, 47], [11, 47]]","[11, 47]",1,1,3.740672,0,0,0,1,1
22,6,11,47,2,meshcore-like,1,1,1,4,"[[11, 13, 47], [11, 31, 6, 47], [11, 34, 42, 47], [11, 47]]","[11, 47]",1,1,3.740672,0,0,0,1,1
22,7,49,43,2,meshecho,1,1,1,8,"[[49, 1, 38, 43], [49, 2, 43], [49, 17, 26, 43], [49, 18, 43], [49, 27, 43], [49, 28, 25, 43], [49, 28, 43], [49, 43]]","[49, 18, 43]",0,0,3.740672,0,0,0,1,1
22,7,49,43,2,etx-mesh,1,1,1,8,"[[49, 1, 38, 43], [49, 2, 43], [49, 17, 26, 43], [49, 18, 43], [49, 27, 43], [49, 28, 25, 43], [49, 28, 43], [49, 43]]","[49, 43]",0,0,3.5968,0,0,0,1,1
22,7,49,43,2,minhop-mesh,1,1,1,8,"[[49, 1, 38, 43], [49, 2, 43], [49, 17, 26, 43], [49, 18, 43], [49, 27, 43], [49, 28, 25, 43], [49, 28, 43], [49, 43]]","[49, 43]",0,0,3.5968,0,0,0,1,1
22,7,49,43,2,meshcore-like,1,1,1,8,"[[49, 1, 38, 43], [49, 2, 43], [49, 17, 26, 43], [49, 18, 43], [49, 27, 43], [49, 28, 25, 43], [49, 28, 43], [49, 43]]","[49, 43]",0,0,3.5968,0,0,0,1,1
22,8,45,3,2,meshecho,1,1,1,2,"[[45, 10, 3], [45, 36, 3]]","[45, 10, 3]",1,1,3.95648,0,0,0,1,1
22,8,45,3,2,etx-mesh,1,1,1,2,"[[45, 10, 3], [45, 36, 3]]","[45, 10, 3]",1,1,3.95648,0,0,0,1,1
22,8,45,3,2,minhop-mesh,1,1,1,2,"[[45, 10, 3], [45, 36, 3]]","[45, 10, 3]",1,1,3.95648,0,0,0,1,1
22,8,45,3,2,meshcore-like,1,1,1,2,"[[45, 10, 3], [45, 36, 3]]","[45, 10, 3]",1,1,3.95648,0,0,0,1,1
22,9,28,5,2,meshecho,1,1,1,6,"[[28, 0, 42, 5], [28, 5], [28, 10, 36, 5], [28, 37, 38, 5], [28, 45, 5], [28, 49, 5]]","[28, 45, 5]",0,0,3.740672,0,0,0,1,1
22,9,28,5,2,etx-mesh,1,1,1,6,"[[28, 0, 42, 5], [28, 5], [28, 10, 36, 5], [28, 37, 38, 5], [28, 45, 5], [28, 49, 5]]","[28, 5]",1,0,3.740672,0,0,0,1,1
22,9,28,5,2,minhop-mesh,1,1,1,6,"[[28, 0, 42, 5], [28, 5], [28, 10, 36, 5], [28, 37, 38, 5], [28, 45, 5], [28, 49, 5]]","[28, 5]",1,0,3.740672,0,0,0,1,1
22,9,28,5,2,meshcore-like,1,1,1,6,"[[28, 0, 42, 5], [28, 5], [28, 10, 36, 5], [28, 37, 38, 5], [28, 45, 5], [28, 49, 5]]","[28, 5]",1,0,3.740672,0,0,0,1,1
22,10,3,45,2,meshecho,1,1,1,5,"[[3, 1, 45], [3, 17, 26, 45], [3, 20, 42, 45], [3, 20, 45], [3, 24, 45]]","[3, 1, 45]",0,0,3.740672,0,0,0,1,1
22,10,3,45,2,etx-mesh,1,1,1,5,"[[3, 1, 45], [3, 17, 26, 45], [3, 20, 42, 45], [3, 20, 45], [3, 24, 45]]","[3, 24, 45]",0,0,3.740672,0,0,0,1,1
22,10,3,45,2,minhop-mesh,1,1,1,5,"[[3, 1, 45], [3, 17, 26, 45], [3, 20, 42, 45], [3, 20, 45], [3, 24, 45]]","[3, 1, 45]",0,0,3.740672,0,0,0,1,1
22,10,3,45,2,meshcore-like,1,1,1,5,"[[3, 1, 45], [3, 17, 26, 45], [3, 20, 42, 45], [3, 20, 45], [3, 24, 45]]","[3, 1, 45]",0,0,3.740672,0,0,0,1,1
